Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
-0.5414578729619038,1,2,2,5,13,2,0.20924092749750714,3,4,0.34949144809609933,3,2,4,-0.6745383837071142,0,0.06531475532813458,4,-0.05947384029666954,-0.6222354293170421,2,0.6875558218407228,0.6146535464197354,0.0,0.8443844782556141,0,3
1.1098877240076426,1,2,2,5,13,2,0.2595699588256632,4,4,0.16955719007092668,3,2,1,-0.269410225324463,0,0.06531475532813458,4,1.1402484641879835,-0.6222354293170421,3,0.18773474192072914,0.6146535464197354,0.05397218389276107,0.6628579652305444,0,3
0.3392597787551876,1,1,1,5,13,1,0.11595591579949402,4,4,0.2530499048575533,2,3,1,0.9459742498234903,1,0.36091314275434533,3,1.1402484641879835,-0.6222354293170421,3,1.5823966886759027,1.513618082366058,0.05397218389276107,1.4415606950308928,0,4
0.449349485219824,1,0,0,3,8,2,0.20924092749750714,4,2,0.5932585073907931,2,5,4,0.1357179330581881,0,0.20685949420221988,2,1.4100932631277114,-0.6222354293170421,2,-0.265398239548667,0.41317462117329756,0.1688639570058149,0.46164465383012243,0,3
2.541053908047916,1,2,2,5,13,2,0.27938166176025464,4,1,0.7395973170454816,3,2,1,2.1613587249714437,0,0.1668486149044334,4,-0.05947384029666954,-1.4140514581404255,3,-1.183257140445737,-0.7611576937337985,0.08940054898419131,-0.7044841909072644,0,3
-1.091906405285086,1,1,0,1,3,1,0.20924092749750714,2,4,0.02851674498278525,3,3,1,-0.6745383837071142,0,0.36091314275434533,3,-0.22814897182110186,0.961396628329725,2,0.5373388283128623,0.6146535464197354,0.05397218389276107,0.6628579652305444,0,4
1.440156843401552,1,2,1,5,14,2,0.17695109486127292,4,4,0.3357746470395482,3,1,2,1.7562305665887925,0,0.20685949420221988,4,-1.247440212678327,-0.6222354293170421,3,-1.183257140445737,-0.7611576937337985,0.08940054898419131,-0.7044841909072644,0,3
-0.9818166988204496,0,1,2,1,3,2,0.0,2,1,0.5126316333080428,1,1,2,1.7562305665887925,1,0.12020819605623606,4,-0.05947384029666954,0.961396628329725,3,0.18773474192072914,0.6146535464197354,0.11324251392849913,0.6628579652305444,1,3
-0.10109904710335814,0,1,1,1,3,0,0.17695109486127292,3,1,0.4585412315219539,4,3,1,2.5664868833540946,0,0.1668486149044334,1,-0.05947384029666954,-0.6222354293170421,3,0.372146065596895,0.6146535464197354,0.0,0.23428296900443066,0,3
0.11908036582591472,0,1,2,1,3,2,0.0,3,3,0.6998677936055773,3,3,3,0.5408460914408392,1,0.1668486149044334,4,-0.05947384029666954,0.961396628329725,4,-1.5478191219328894,-1.6144429431103866,0.0,-1.5593062589143878,0,3
